-111.8355334,41.13688807
-111.8500165,41.13660643
-111.8503231,41.13281751
-111.8550208,41.13275767
-111.8551957,41.11822251
-111.8358759,41.11830132
-111.8356127,41.11107988
-111.8503515,41.11079477
-111.8502374,41.1036874
-111.8547373,41.10363
-111.8545995,41.09168648
-111.8521318,41.08925998
-111.8354993,41.08922505
-111.8353019,41.07471011
-111.830479,41.07481991
-111.8305443,41.06012026
-111.83537,41.06001318
-111.8355024,41.04541224
-111.8111908,41.04551895
-111.8111111,41.04188198
-111.8110666,41.03862145
-111.8159755,41.03861814
-111.815646,41.03104269
-111.8346058,41.03117895
-111.8351933,41.01640606
-111.8210567,41.01643598
-111.8209757,41.01275013
-111.8163492,41.01270938
-111.8159974,41.00558529
-111.8208462,41.00551407
-111.8205711,41.00188003
-111.8156222,41.00194175
-111.8154754,40.99820775
-111.8109825,40.99826355
-111.8109021,40.9945778
-111.8062107,40.99448834
-111.8061628,40.99827405
-111.8107882,40.99831512
-111.8108675,41.00195168
-111.8013544,41.00182352
-111.8013152,40.99100916
-111.7966235,40.99091917
-111.7966641,41.03120276
-111.8058637,41.03129652
-111.8062424,41.04566207
-111.8015112,41.04585816
-111.8013984,41.05305348
-111.8063147,41.0530508
-111.8063738,41.06018716
-111.7968554,41.06010771
-111.7962878,41.07060278
-111.7777105,41.07077541
-111.7775135,41.06766057
-111.7677702,41.0674142
-111.7678993,41.07463858
-111.7777579,41.07450949
-111.777772,41.08923864
-111.7657005,41.08931225
-111.765669,41.09548432
-111.7628266,41.09552296
-111.7628621,41.09572347
-111.7605942,41.09587012
-111.7607218,41.09614314
-111.765664,41.09598245
-111.7657442,41.09667059
-111.7629658,41.09668041
-111.7629139,41.09859329
-111.7678372,41.09856282
-111.7678584,41.10047929
-111.7711368,41.10050212
-111.7709295,41.09669701
-111.7777757,41.0966372
-111.7777689,41.10045993
-111.7834002,41.10043526
-111.7833793,41.10208103
-111.7910848,41.10210139
-111.7911644,41.10045963
-111.7970178,41.10056457
-111.7970234,41.10418314
-111.7914846,41.10410535
-111.7912903,41.11872724
-111.7969388,41.11877843
-111.7970045,41.12986121
-111.7974753,41.12990219
-111.7981183,41.12880447
-111.8030637,41.13007102
-111.8037949,41.12878493
-111.807261,41.12966246
-111.8078009,41.12851953
-111.8110106,41.12931972
-111.811692,41.12819647
-111.8141982,41.1288616
-111.8140829,41.13080157
-111.8135898,41.13249979
-111.8129857,41.13264023
-111.8129292,41.13314339
-111.8139922,41.13316599
-111.813939,41.1333492
-111.8161967,41.13344767
-111.8161879,41.13433981
-111.8172873,41.13441838
-111.817185,41.13548975
-111.8159169,41.1354825
-111.815467,41.13541888
-111.8150915,41.13537501
-111.8150589,41.13614749
-111.8145026,41.13612857
-111.814018,41.13608968
-111.8135619,41.13605207
-111.8130501,41.1359717
-111.8126842,41.13582392
-111.8123665,41.13562353
-111.8121951,41.13543797
-111.8119984,41.13515636
-111.8119229,41.13502955
-111.8021324,41.13296078
-111.8018473,41.13352314
-111.8011906,41.13322571
-111.8005764,41.13316884
-111.8007168,41.13257659
-111.8002958,41.13263448
-111.7998827,41.13266561
-111.7994846,41.13259285
-111.7990297,41.13239278
-111.7984525,41.13216863
-111.7973646,41.13171246
-111.7974323,41.13157761
-111.7973295,41.13154262
-111.7970275,41.13156465
-111.797064,41.13365392
-111.8017273,41.13465653
-111.8016444,41.13684466
-111.8076754,41.13701637
-111.8078717,41.13772451
-111.813673,41.13822821
-111.8136065,41.13714481
-111.8182565,41.13718467
-111.8182755,41.13862283
-111.8196735,41.13871037
-111.8202574,41.13871716
-111.8212967,41.13861759
-111.8212385,41.13819978
-111.8225664,41.13798129
-111.8224197,41.13521007
-111.8221211,41.13527145
-111.821828,41.13539547
-111.821482,41.13551042
-111.8211732,41.13559126
-111.8208557,41.13563449
-111.8207362,41.13563238
-111.8204747,41.13559843
-111.82021,41.13556439
-111.8199428,41.13552715
-111.8196775,41.13548692
-111.8196585,41.13553871
-111.8195598,41.13554216
-111.8194058,41.13558587
-111.819259,41.13565607
-111.8190936,41.13576953
-111.8189398,41.13588626
-111.8188527,41.13596637
-111.8187156,41.13612703
-111.8186783,41.13621587
-111.8176457,41.1361857
-111.8177478,41.13445251
-111.8209908,41.13465932
-111.821193,41.13459758
-111.8214975,41.13447032
-111.8218722,41.13436702
-111.8222535,41.1343441
-111.8223395,41.13433798
-111.8230554,41.13412255
-111.8232798,41.13388811
-111.8235973,41.1336894
-111.8238275,41.13352708
-111.8241273,41.13344512
-111.8243065,41.13342458
-111.8245569,41.13337882
-111.8245688,41.13337935
-111.8248188,41.13335261
-111.8250326,41.13332433
-111.8252469,41.13333384
-111.825641,41.13338908
-111.8259106,41.13359087
-111.8259571,41.13326184
-111.8274311,41.13318689
-111.8282574,41.13266756
-111.8290111,41.133069
-111.8307117,41.13341889
-111.8309012,41.11828917
-111.8357546,41.11839094
-111.8355334,41.13688807
